,KEGG ID,compound name,formula,dbId,pathway name,stId,isInDisease,speciesName
122,C07481,['caffeine'],C8H10N4O2,10249298,G alpha (i) signalling events,R-CFA-418594,False,Canis familiaris
123,C07481,['caffeine'],C8H10N4O2,10023833,G alpha (i) signalling events,R-MMU-418594,False,Mus musculus
124,C07481,['caffeine'],C8H10N4O2,9717207,"Sensory perception of sweet, bitter, and umami (glutamate) taste",R-HSA-9717207,False,Homo sapiens
125,C07481,['caffeine'],C8H10N4O2,10537438,"Sensory perception of sweet, bitter, and umami (glutamate) taste",R-DRE-9717207,False,Danio rerio
126,C07481,['caffeine'],C8H10N4O2,10477549,"Sensory perception of sweet, bitter, and umami (glutamate) taste",R-SSC-9717207,False,Sus scrofa
127,C07481,['caffeine'],C8H10N4O2,10707316,"Sensory perception of sweet, bitter, and umami (glutamate) taste",R-GGA-9717207,False,Gallus gallus
128,C07481,['caffeine'],C8H10N4O2,10026695,"Sensory perception of sweet, bitter, and umami (glutamate) taste",R-MMU-9717207,False,Mus musculus
129,C07481,['caffeine'],C8H10N4O2,10146607,"Sensory perception of sweet, bitter, and umami (glutamate) taste",R-RNO-9717207,False,Rattus norvegicus
130,C07481,['caffeine'],C8H10N4O2,10252074,"Sensory perception of sweet, bitter, and umami (glutamate) taste",R-CFA-9717207,False,Canis familiaris
131,C07481,['caffeine'],C8H10N4O2,10363955,"Sensory perception of sweet, bitter, and umami (glutamate) taste",R-BTA-9717207,False,Bos taurus
